,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,Alength,Clength,pair,label
1919,Total 2% Lowfat Greek Strained Yogurt With Blueberry,"Total 2% with Strawberry Lowfat Greek Strained Yogurt, Total 2% Lowfat Greek Strained Yogurt with Peach",0.00566914498141264,0.002300185873605948,0.0011849442379182156,0.20901639344262293,90.86934923000496,0.001171904150716546,1.2613406976520214,1,2,"Total 2% Lowfat Greek Strained Yogurt With Blueberry, Total 2% with Strawberry Lowfat Greek Strained Yogurt, Total 2% Lowfat Greek Strained Yogurt with Peach","Total 2% Lowfat Greek Strained Yogurt With Blueberry---Total 2% with Strawberry Lowfat Greek Strained Yogurt, Total 2% Lowfat Greek Strained Yogurt with Peach"
1914,"Total 2% with Strawberry Lowfat Greek Strained Yogurt, Total 2% Lowfat Greek Strained Yogurt with Peach",Total 2% Lowfat Greek Strained Yogurt With Blueberry,0.002300185873605948,0.00566914498141264,0.0011849442379182156,0.5151515151515151,90.86934923000496,0.001171904150716546,2.050807388475836,2,1,"Total 2% Lowfat Greek Strained Yogurt With Blueberry, Total 2% with Strawberry Lowfat Greek Strained Yogurt, Total 2% Lowfat Greek Strained Yogurt with Peach","Total 2% Lowfat Greek Strained Yogurt With Blueberry---Total 2% with Strawberry Lowfat Greek Strained Yogurt, Total 2% Lowfat Greek Strained Yogurt with Peach"
1918,Total 2% Lowfat Greek Strained Yogurt with Peach,"Total 2% with Strawberry Lowfat Greek Strained Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blueberry",0.005018587360594796,0.0027184014869888477,0.0011849442379182156,0.23611111111111108,86.8566001899335,0.0011713017025745912,1.3055322744170326,1,2,"Total 2% Lowfat Greek Strained Yogurt with Peach, Total 2% with Strawberry Lowfat Greek Strained Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blueberry","Total 2% Lowfat Greek Strained Yogurt with Peach---Total 2% with Strawberry Lowfat Greek Strained Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blueberry"
1915,"Total 2% with Strawberry Lowfat Greek Strained Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blueberry",Total 2% Lowfat Greek Strained Yogurt with Peach,0.0027184014869888477,0.005018587360594796,0.0011849442379182156,0.43589743589743585,86.8566001899335,0.0011713017025745912,1.7638306860425819,2,1,"Total 2% Lowfat Greek Strained Yogurt with Peach, Total 2% with Strawberry Lowfat Greek Strained Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blueberry","Total 2% Lowfat Greek Strained Yogurt with Peach---Total 2% with Strawberry Lowfat Greek Strained Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blueberry"
935,Non Fat Raspberry Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,0.003996282527881041,0.0048327137546468404,0.0016728624535315986,0.41860465116279066,86.61896243291591,0.0016535495639916531,1.7116877323420072,1,1,"Icelandic Style Skyr Blueberry Non-fat Yogurt, Non Fat Raspberry Yogurt",Icelandic Style Skyr Blueberry Non-fat Yogurt---Non Fat Raspberry Yogurt
934,Icelandic Style Skyr Blueberry Non-fat Yogurt,Non Fat Raspberry Yogurt,0.0048327137546468404,0.003996282527881041,0.0016728624535315986,0.34615384615384615,86.61896243291591,0.0016535495639916531,1.5232998031926523,1,1,"Icelandic Style Skyr Blueberry Non-fat Yogurt, Non Fat Raspberry Yogurt",Icelandic Style Skyr Blueberry Non-fat Yogurt---Non Fat Raspberry Yogurt
1917,Total 2% with Strawberry Lowfat Greek Strained Yogurt,"Total 2% Lowfat Greek Strained Yogurt With Blueberry, Total 2% Lowfat Greek Strained Yogurt with Peach",0.008271375464684014,0.0016728624535315986,0.0011849442379182156,0.14325842696629212,85.63670411985018,0.0011711073644642832,1.1652605277591566,1,2,"Total 2% Lowfat Greek Strained Yogurt With Blueberry, Total 2% Lowfat Greek Strained Yogurt with Peach, Total 2% with Strawberry Lowfat Greek Strained Yogurt","Total 2% Lowfat Greek Strained Yogurt With Blueberry, Total 2% Lowfat Greek Strained Yogurt with Peach---Total 2% with Strawberry Lowfat Greek Strained Yogurt"
1916,"Total 2% Lowfat Greek Strained Yogurt With Blueberry, Total 2% Lowfat Greek Strained Yogurt with Peach",Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.0016728624535315986,0.008271375464684014,0.0011849442379182156,0.7083333333333333,85.63670411985018,0.0011711073644642832,3.4002124269782255,2,1,"Total 2% Lowfat Greek Strained Yogurt With Blueberry, Total 2% Lowfat Greek Strained Yogurt with Peach, Total 2% with Strawberry Lowfat Greek Strained Yogurt","Total 2% Lowfat Greek Strained Yogurt With Blueberry, Total 2% Lowfat Greek Strained Yogurt with Peach---Total 2% with Strawberry Lowfat Greek Strained Yogurt"
1940,Vanilla Skyr Nonfat Yogurt,Non Fat Raspberry Yogurt,0.004182156133828996,0.003996282527881041,0.0011617100371747212,0.27777777777777785,69.50904392764859,0.0011449969596882298,1.379082070346011,1,1,"Non Fat Raspberry Yogurt, Vanilla Skyr Nonfat Yogurt",Non Fat Raspberry Yogurt---Vanilla Skyr Nonfat Yogurt
1941,Non Fat Raspberry Yogurt,Vanilla Skyr Nonfat Yogurt,0.003996282527881041,0.004182156133828996,0.0011617100371747212,0.2906976744186046,69.50904392764858,0.0011449969596882298,1.4039399110244377,1,1,"Non Fat Raspberry Yogurt, Vanilla Skyr Nonfat Yogurt",Non Fat Raspberry Yogurt---Vanilla Skyr Nonfat Yogurt
